timestamp,quality_score,channels,std_dev_mult,cmf_length,cmf_buy_threshold,cmf_sell_threshold,buy_threshold,sell_threshold,total_return_pct,total_trades,win_rate_pct,profit_factor,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,avg_profit_pct,avg_loss_pct,profit_loss_ratio,max_consecutive_losses,max_consecutive_wins,avg_trade_duration,expectancy
2025-10-26 20:59:56,0.9804,"(2, 2, 2, 18)",5.0000,104,-0.1500,0.2500,75,35,0.0002,33,60.6061,3.1803,2.0878,9.2613,3.0975,-0.0001,4.4826,-1.5946,2.8111,5,4,943.3939,2.0886
2025-10-26 20:59:56,0.9826,"(2, 2, 2, 18)",5.0000,104,-0.1500,0.2500,80,40,0.0002,30,53.3333,3.5744,2.1155,8.9235,3.8673,-0.0000,5.7504,-1.6262,3.5360,5,4,1092.7000,2.3080
2025-10-26 20:59:56,0.9889,"(2, 2, 2, 18)",5.0000,112,-0.1500,0.2500,60,40,0.0002,30,63.3333,3.9757,2.2213,10.4604,4.1221,-0.0000,5.2749,-1.7006,3.1018,3,7,1122.4667,2.7172
2025-10-26 20:59:56,0.9907,"(2, 2, 2, 18)",5.0000,112,-0.1500,0.2500,65,30,0.0002,30,66.6667,4.2032,2.2798,10.6204,4.3120,-0.0000,5.0826,-1.7429,2.9163,3,7,1118.7333,2.8075
2025-10-26 20:59:56,0.9894,"(2, 2, 2, 18)",5.0000,112,-0.1500,0.2500,65,35,0.0002,30,66.6667,4.1537,2.2550,10.9872,4.2251,-0.0000,5.0435,-1.7617,2.8629,3,7,1117.8333,2.7751
2025-10-26 20:59:56,0.9890,"(2, 2, 2, 18)",5.0000,112,-0.1500,0.2500,65,40,0.0002,31,64.5161,4.0540,2.2265,10.9595,4.3590,-0.0000,5.0396,-1.6830,2.9944,3,7,1089.9677,2.6542
2025-10-26 20:59:56,0.9856,"(2, 2, 2, 18)",5.0000,112,-0.1500,0.2500,70,40,0.0002,30,66.6667,4.0171,2.1821,8.6164,4.2665,-0.0000,4.9397,-1.8121,2.7260,3,7,1129.9333,2.6891
2025-10-26 20:59:56,0.9839,"(2, 2, 2, 18)",5.0000,120,-0.2000,0.1500,75,40,0.0001,35,65.7143,3.0066,2.4051,6.6888,4.0489,-0.0000,2.0401,-1.1600,1.7587,4,7,369.5429,0.9429
2025-10-26 20:59:56,0.9888,"(2, 2, 2, 18)",5.0000,120,-0.2000,0.1500,80,40,0.0001,34,64.7059,3.0759,2.4733,7.1865,3.8902,-0.0000,2.2138,-1.1774,1.8802,4,7,415.1471,1.0169
2025-10-26 21:00:08,0.9819,"(2, 2, 2, 20)",5.0000,72,-0.2000,0.2500,85,35,0.0002,37,64.8649,3.1951,2.5954,8.2457,2.8182,-0.0001,3.1595,-1.6269,1.9421,5,12,837.0270,1.4778
2025-10-26 21:00:08,0.9851,"(2, 2, 2, 20)",5.0000,88,-0.2000,0.0500,60,15,0.0001,54,68.5185,3.2377,2.9466,4.2328,4.9900,-0.0000,1.2442,-0.8250,1.5081,3,6,121.4815,0.5928
2025-10-26 21:00:08,0.9915,"(2, 2, 2, 20)",5.0000,88,-0.2000,0.0500,65,15,0.0001,53,64.1509,3.2075,2.9513,4.5747,4.9842,-0.0000,1.3047,-0.7017,1.8595,3,6,126.3208,0.5855
2025-10-26 21:00:08,0.9844,"(2, 2, 2, 20)",5.0000,88,-0.2000,0.0500,65,20,0.0001,55,63.6364,2.8869,2.6749,3.9425,4.1493,-0.0000,1.1814,-0.6925,1.7059,5,6,125.8364,0.5000
2025-10-26 21:00:08,0.9866,"(2, 2, 2, 20)",5.0000,88,-0.2000,0.0500,70,15,0.0001,53,62.2642,2.8412,2.6771,3.7537,4.0895,-0.0000,1.1647,-0.6604,1.7636,3,6,126.4340,0.4760
2025-10-26 21:00:08,0.9812,"(2, 2, 2, 20)",5.0000,88,-0.2500,0.2000,70,35,0.0001,33,72.7273,3.1964,2.4406,6.5008,3.9535,-0.0000,1.7862,-1.2755,1.4004,3,6,400.7879,0.9512
2025-10-26 21:00:08,0.9866,"(2, 2, 2, 20)",5.0000,88,-0.2500,0.2000,70,40,0.0001,33,72.7273,3.7382,2.6466,6.8479,5.3506,-0.0000,1.8100,-1.1230,1.6116,3,6,406.4242,1.0100
2025-10-26 21:00:08,0.9847,"(2, 2, 2, 20)",5.0000,88,-0.2500,0.2000,75,40,0.0001,33,66.6667,3.2068,2.3416,6.6873,4.0143,-0.0000,1.8760,-1.0236,1.8327,3,6,402.7576,0.9095
2025-10-26 21:00:09,0.9849,"(2, 2, 2, 20)",5.0000,96,-0.2000,0.1000,60,15,0.0001,41,56.0976,2.8968,2.2777,6.7880,4.6461,-0.0000,1.7552,-0.7615,2.3051,3,4,186.0488,0.6503
2025-10-26 21:00:09,0.9876,"(2, 2, 2, 20)",5.0000,96,-0.2000,0.1000,65,15,0.0001,40,60.0000,2.9593,2.3575,6.9788,4.6534,-0.0000,1.6599,-0.8237,2.0152,3,5,190.4500,0.6665
2025-10-26 21:00:09,0.9803,"(2, 2, 2, 20)",5.0000,96,-0.2000,0.1000,70,15,0.0001,40,57.5000,2.7180,2.2907,5.8156,3.7371,-0.0000,1.5994,-0.7769,2.0587,3,5,187.6500,0.5895
2025-10-26 21:00:09,0.9831,"(2, 2, 2, 20)",5.0000,96,-0.2000,0.1000,80,15,0.0001,38,60.5263,2.9403,2.3125,6.2732,4.2623,-0.0000,1.6428,-0.8763,1.8748,3,4,230.8947,0.6484
